Date,Close,High,Low,Volume,Log_Return,Rolling_Return_21,Rolling_Volatility_21,KMeans_Label,Rolling_Return_21_scaled,Rolling_Volatility_21_scaled
2000-02-02,1409.1199951171875,1420.6099853515625,1403.489990234375,1038600000,-0.00011356385074743024,-0.0015329371047850115,0.01619005254846687,0,-0.7692026635463408,0.8865296703130837
2000-02-03,1424.969970703125,1425.780029296875,1398.52001953125,1146500000,0.011185347697919614,0.0008615639923034475,0.013914888066324068,1,0.2731905195175708,0.544805761712391
2000-02-04,1424.3699951171875,1435.9100341796875,1420.6300048828125,1045100000,-0.00042113303572190804,0.0007500653733840278,0.013915361002381136,1,0.22465205761251442,0.5448767955032259
2000-02-07,1424.239990234375,1427.1500244140625,1413.3299560546875,918100000,-9.12760143166444e-05,0.0007002321469852833,0.013916463366042657,1,0.20295826279600995,0.5450423677166069
2000-02-08,1441.719970703125,1441.8299560546875,1424.239990234375,1047700000,0.01219849367259354,8.258049019707597e-06,0.012880154272828603,1,-0.09827738226306956,0.38939138220279607
2000-02-09,1411.7099609375,1444.550048828125,1411.6500244140625,1050500000,-0.02103511705975112,-0.001523310614451272,0.013393816852302069,0,-0.7650119835283103,0.4665421929407818
2000-02-10,1416.8299560546875,1422.0999755859375,1406.4300537109375,1058800000,0.00362024285277645,-0.000724795393418926,0.013163976922611521,0,-0.41739601292425077,0.43202082108269535
2000-02-11,1387.1199951171875,1416.8299560546875,1378.8900146484375,1025700000,-0.021192298989189638,-0.0015246182177322556,0.013888507004922349,0,-0.765581219745369,0.540843393502977
2000-02-14,1389.93994140625,1394.9300537109375,1380.530029296875,927300000,0.0020308868535491302,-0.0020039209944878655,0.013564847731060451,0,-0.9742351008069212,0.4922305951813445
2000-02-15,1402.050048828125,1407.719970703125,1376.25,1092100000,0.008674947553079746,-0.0020962931823098234,0.013480967564396639,0,-1.0144472932370636,0.47963200785659893
2000-02-16,1387.6700439453125,1404.550048828125,1385.5799560546875,1018800000,-0.010309372816680578,-0.0022607625080215106,0.013562754406941598,0,-1.0860453827737282,0.4919161832320208
2000-02-17,1388.260009765625,1399.8800048828125,1380.0699462890625,1034800000,0.0004250581374747612,-0.0022653862573618682,0.013561774746240079,0,-1.0880582299586576,0.4917690406906119
2000-02-18,1346.0899658203125,1388.5899658203125,1345.3199462890625,1042300000,-0.03084710308169203,-0.003395219138877618,0.01490799958125247,0,-1.579906028702834,0.6939685810255961
2000-02-22,1352.1700439453125,1358.1099853515625,1331.8800048828125,980000000,0.004506673481115292,-0.0030417314429219576,0.015007591089030289,0,-1.4260229651247107,0.7089269717566345
2000-02-23,1360.68994140625,1370.1099853515625,1342.43994140625,993700000,0.006281139106337607,-0.0014082208079316373,0.01398462230167344,0,-0.7149101773933768,0.5552796661944197
2000-02-24,1353.4300537109375,1364.800048828125,1329.8800048828125,1215000000,-0.005349730316245383,-0.0019508976612309672,0.013901747437371242,0,-0.9511525634059058,0.5428320727231001
2000-02-25,1333.3599853515625,1362.1400146484375,1329.1500244140625,1065200000,-0.014940089385435541,-0.0024613009764103957,0.014183201007865106,0,-1.1733453771837659,0.5851056819296747
2000-02-28,1348.050048828125,1360.8199462890625,1325.0699462890625,1026500000,0.010957078745980514,-0.0017516208444835863,0.014475039257666156,0,-0.8644018011812719,0.628939043510317
2000-02-29,1366.4200439453125,1369.6300048828125,1348.050048828125,1204300000,0.013535073096645703,0.0002186594329630225,0.013531537637752633,1,-0.0066837853353409644,0.48722750403327914
2000-03-01,1379.18994140625,1383.4599609375,1366.4200439453125,1274100000,0.009302114728482016,-0.0005243279861151978,0.012497117086961948,0,-0.33012695338863807,0.33186017277986884
2000-03-02,1381.760009765625,1386.56005859375,1370.3499755859375,1198600000,0.0018617281349938522,-0.0009390904994681926,0.012252584710293467,0,-0.5106846557990974,0.2951320328188102
2000-03-03,1409.1700439453125,1410.8800048828125,1381.760009765625,1150300000,0.019642853797381482,1.691293299850935e-06,0.013051561401678229,1,-0.10113607437456942,0.4151362962484612
2000-03-06,1391.280029296875,1409.739990234375,1384.75,1029000000,-0.012776701994211102,-0.001139358692039707,0.013072368508459628,0,-0.5978669915996164,0.4182614706751097
2000-03-07,1355.6199951171875,1399.2099609375,1349.989990234375,1314100000,-0.025965297120289534,-0.0023557474579714984,0.014146512123031621,0,-1.127394983507645,0.5795951049028697
2000-03-08,1366.699951171875,1373.7900390625,1346.6199951171875,1203000000,0.008140128606934442,-0.0019637758093404944,0.014325301412452739,0,-0.9567587808414214,0.6064488006582565
2000-03-09,1401.68994140625,1401.8199462890625,1357.8800048828125,1123000000,0.025279570403423504,-0.0013408673935866866,0.015227880572094163,0,-0.6855893555927001,0.7420138908638256
2000-03-10,1395.0699462890625,1413.4599609375,1392.0699462890625,1138800000,-0.004734054939684533,-0.0005646263402501825,0.014575259230179147,0,-0.3476699520909901,0.6439918280433887
2000-03-13,1383.6199951171875,1398.3900146484375,1364.8399658203125,1016100000,-0.008241305233129576,-0.0011294619633885647,0.014634688374365195,0,-0.5935586692968503,0.652917934087785
2000-03-14,1359.1500244140625,1395.1500244140625,1359.1500244140625,1094000000,-0.017843727175416074,-0.0009700061627326807,0.014421853832205683,0,-0.5241431071967545,0.6209507281108844
2000-03-15,1392.1400146484375,1397.989990234375,1356.989990234375,1302800000,0.023982619773033384,7.53144524808553e-05,0.01541181193498158,0,-0.06908585759278398,0.7696399129529816
2000-03-16,1458.469970703125,1458.469970703125,1392.1500244140625,1482300000,0.04654577885905088,0.0018786873718128142,0.018395290271523864,1,0.7159727251405587,1.2177507578570432
2000-03-17,1464.469970703125,1477.3299560546875,1453.3199462890625,1295100000,0.004105461314759303,0.0025651080447385228,0.018185501305109028,1,1.0147908092257665,1.1862409895975379
2000-03-20,1456.6300048828125,1470.300048828125,1448.489990234375,920800000,-0.005367830413634725,0.0022892562089714043,0.018263355215293795,1,0.8947048032143492,1.1979344485527028
2000-03-21,1493.8699951171875,1493.9200439453125,1446.06005859375,1065900000,0.025244513080495853,0.00496028555002797,0.01724834199690108,1,2.0574784516651765,1.0454820491798662
2000-03-22,1500.6400146484375,1505.0799560546875,1487.3299560546875,1075000000,0.004521628609461416,0.0049609976989968335,0.017248322640467672,1,2.0577884699948283,1.0454791418928844
2000-03-23,1527.3499755859375,1532.5,1492.3900146484375,1078300000,0.017642498044501166,0.005502014791290336,0.01746857702632618,1,2.293308315700279,1.0785607894892493
2000-03-24,1527.4599609375,1552.8699951171875,1516.8299560546875,1052200000,7.200798340682352e-05,0.005760192805559489,0.01733976426443056,1,2.4057004137529283,1.0592134408390261
2000-03-27,1523.8599853515625,1534.6300048828125,1518.4599609375,901000000,-0.002359619652895298,0.00635926279282331,0.016797680769456935,1,2.666492305500774,0.9777938810031388
2000-03-28,1507.72998046875,1527.3599853515625,1507.0899658203125,959100000,-0.010641384406600805,0.005330764547462295,0.01715941388401265,1,2.218758303181413,1.0321252731932364
