Date,Close,High,Low,Volume,Log_Return,Rolling_Return_21,Rolling_Volatility_21,KMeans_Label,Rolling_Return_21_scaled,Rolling_Volatility_21_scaled,Spectral_Label,Spectral_Synced,Spectral_Regime_Name,KMeans_Name,HMM_States_KMeans,HMM_States_Spectral,HMM_KMeans,HMM_Spectral
2003-02-07,829.6900024414062,845.72998046875,826.7000122070312,1276800000,-0.0101449712147533,-0.0043959774016659,0.0129561730260909,0,-2.015564042096043,0.4008092052637809,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-10,835.969970703125,837.1599731445312,823.530029296875,1238200000,0.0075405522369371,-0.0049512180476195,0.0121170463704943,0,-2.257275797837503,0.274774519502775,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-11,829.2000122070312,843.02001953125,825.0900268554688,1307000000,-0.008131296944902,-0.0053384226640435,0.01208078250946,0,-2.4258367782863863,0.2693277799677334,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-12,818.6799926757812,832.1199951171875,818.489990234375,1260500000,-0.0127681171182073,-0.0058791288167399,0.0121502266885435,0,-2.6612212633036587,0.2797581187376318,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-13,817.3699951171875,821.25,806.2899780273438,1489300000,-0.0016014154192461,-0.0062321928423524,0.0118986071589859,0,-2.814919891352366,0.2419655064691347,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-14,834.8900146484375,834.8900146484375,815.030029296875,1404600000,0.0212081344456142,-0.0045303325822569,0.0131430906898343,0,-2.074052603461796,0.428883762133075,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-18,851.1699829101562,852.8699951171875,834.8900146484375,1250800000,0.0193118563360777,-0.0034226157620443,0.0141371183502668,0,-1.591832543692807,0.5781841841668625,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-19,845.1300048828125,851.1699829101562,838.7899780273438,1075600000,-0.0071213860718171,-0.0030895310908042,0.0139537833147922,0,-1.446831486434616,0.5506477289357986,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-20,837.0999755859375,849.3699951171875,836.5599975585938,1194100000,-0.0095469589545402,-0.0027904861654751,0.0137327002767136,0,-1.316648880975833,0.5174416198871968,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
2003-02-21,848.1699829101562,852.280029296875,831.47998046875,1398200000,0.0131375587482107,-0.0016654975453136,0.0140350039657896,0,-0.8269099244530144,0.5628468637833157,0,2,Bear Market (High Volatility),Sideways / Correction,2.0,0.0,Bear Market,Sideways
